Country,Neobank,Digital bank
UK,24,4
United States,21,2
India,8,1
Germany,8,1
Spain,4,4
Russia,7,
Australia,6,1
Canada,3,3
Brazil,3,1
France,2,2
Mexico,3,1
UAE,,3
Sweden,2,1
Italy,,3
Hong Kong,1,2
Taiwan,,3
Netherlands,2,1
United Kingdom,3,
Singapore,2,1
Japan,,2
Nigeria,1,1
Denmark,2,
Thailand,,2
Malta,2,
Argentina,2,
Italia,1,
Vietnam,,1
Uganda,1,
Chile,,1
Israel,,1
Norway,1,
Turkey,,1
Philippines,,1
United Arab Emirates,1,
Phillipines,1,
Sri Lanka,,1
Poland,,1
Switzerland,1,
Colombia,,1
Estonia,1,
Austria,,1
EU,1,
South Africa,1,
Finland,,1
"South Africa, Indonesia",,1
Belgium,1,
South Korea,,1
Georgia,,1
Indonesia,,1
Myanmar,1,
