State,Neobank
UK,27
United States,21
Germany,8
India,8
Spain,4
Australia,6
Russia,7
Canada,3
Brazil,3
UAE,1
France,2
Italy,1
Mexico,3
Sweden,2
Hong Kong,1
Taiwan,
Singapore,2
Netherlands,2
Thailand,
Japan,
Denmark,2
Nigeria,1
South Africa,1
Malta,2
Argentina,2
Bulgaria,1
Switzerland,1
Vietnam,
Philippines,
Georgia,
Phillipines,1
Chile,
Poland,
Finland,
Austria,
Belgium,1
Indonesia,
Turkey,
Israel,
Uganda,1
South Korea,
Colombia,
Estonia,1
Norway,1
Sri Lanka,
Myanmar,1
