Country,Value
UK,28
United States,23
Germany,9
India,9
Australia,7
Russia,6
Spain,6
Canada,5
Mexico,4
Hong Kong,3
France,3
Singapore,3
UAE,3
Sweden,3
Brazil,3
Netherlands,3
Italy,3
Nigeria,2
Denmark,2
Thailand,2
Japan,2
Argentina,2
Colombia,1
United Arab Emirates,1
Turkey,1
Vietnam,1
China,1
EU,1
Taiwan,1
Myanmar,1
Uganda,1
Finland,1
Estonia,1
Belgium,1
Sri Lanka,1
Norway,1
Switzerland,1
Philippines,1
Indonesia,1
Phillipines,1
Israel,1
Poland,1
Italia,1
Georgia,1
Austria,1
Chile,1
South Korea,1
Malta,1
